p (r/min),w (rad/s)
1.2375,0.0235619
2.49333,0.047473
-0.760833,-0.0144862
2.75917,0.0525344
1.17333,0.0223402
0.174167,0.00331613
1.54917,0.0294961
0.375833,0.00715585
-0.0275,-0.000523599
-0.284167,-0.00541052
2.20917,0.0420624
0.66,0.0125664
-0.980833,-0.018675
3.15333,0.0600393
-2.3375,-0.0445059
-2.3375,-0.0445059
0.229167,0.00436332
-2.31,-0.0439823
2.19083,0.0417134
3.795,0.0722566
-0.0183333,-0.000349066
1.86083,0.0354302
-6.6275,-0.126187
-10.7342,-0.204378
-7.13167,-0.135787
-8.12167,-0.154636
-2.19083,-0.0417134
-7.04917,-0.134216
-7.54417,-0.143641
-8.1675,-0.155509
-12.0175,-0.228813
-8.4425,-0.160745
-10.9175,-0.207869
0.898333,0.0171042
1.41167,0.0268781
1.41167,0.0268781
2.57583,0.0490438
-3.1625,-0.0602139
1.79667,0.0342085
3.72167,0.0708604
-2.24583,-0.0427606
5.17917,0.0986111
6.4075,0.121999
-3.2725,-0.0623083
5.76583,0.109781
-4.62917,-0.0881391
-3.72167,-0.0708604
4.41833,0.0841249
4.41833,0.0841249
3.04333,0.0579449
2.1725,0.0413643
-4.62917,-0.0881391
-1.10917,-0.0211185
0.430833,0.00820305
-3.29083,-0.0626573
0.9625,0.018326
-1.35667,-0.0258309
-2.35583,-0.044855
2.93333,0.0558505
-2.62167,-0.0499164
-2.45667,-0.0467748
4.21667,0.0802851
-2.09917,-0.039968
0.733333,0.0139626
-1.705,-0.0324631
-2.35583,-0.044855
1.38417,0.0263545
1.595,0.0303687
-1.77833,-0.0338594
3.00667,0.0572468
-0.724167,-0.0137881
0.8525,0.0162316
-0.55,-0.010472
0.8525,0.0162316
-0.6325,-0.0120428
0,0
0,0
0,0
0,0
0,0
0,0
0.119167,0.00226893
0.174167,0.00331613
-0.3575,-0.00680678
-0.229167,-0.00436332
-1.2375,-0.0235619
-0.394167,-0.00750492
0.733333,0.0139626
-0.513333,-0.00977384
0.916667,0.0174533
-0.284167,-0.00541052
-0.531667,-0.0101229
0.953333,0.0181514
-0.605,-0.0115192
0.3025,0.00575959
0.320833,0.00610865
-0.275,-0.00523599
0.201667,0.00383972
1.1,0.020944
-1.045,-0.0198968
-0.760833,-0.0144862
-0.9625,-0.018326
0.0183333,0.000349066
1.6225,0.0308923
-0.586667,-0.0111701
0.935,0.0178024
-0.650833,-0.0123918
-0.430833,-0.00820305
-0.4125,-0.00785398
-0.229167,-0.00436332
0.733333,0.0139626
-0.4125,-0.00785398
-0.1925,-0.00366519
-1.96167,-0.03735
-0.210833,-0.00401426
0.66,0.0125664
-1.0725,-0.0204204
2.75917,0.0525344
-0.916667,-0.0174533
1.1,0.020944
-1.045,-0.0198968
0.999167,0.0190241
-1.10917,-0.0211185
0.9075,0.0172788
0,0
0.0458333,0.000872665
0.779167,0.0148353
0.834167,0.0158825
1.11833,0.021293
-1.00833,-0.0191986
0.11,0.0020944
-0.586667,-0.0111701
1.6775,0.0319395
0.385,0.00733038
-1.375,-0.0261799
2.48417,0.0472984
-1.43,-0.0272271
-0.485833,-0.00925025
-0.4675,-0.00890118
0.999167,0.0190241
-0.9625,-0.018326
2.12667,0.0404916
-0.7975,-0.0151844
-0.715,-0.0136136
-1.2375,-0.0235619
0.0733333,0.00139626
-1.485,-0.0282743
-0.751667,-0.0143117
