p (r/min),w (rad/s)
-0.0275,-0.000523599
1.2375,0.0235619
3.75833,0.0715585
1.83333,0.0349066
-0.284167,-0.00541052
5.61,0.106814
0.165,0.00314159
4.76667,0.0907571
1.24667,0.0237365
2.02583,0.0385718
5.46333,0.104022
1.5675,0.0298451
0.7425,0.0141372
4.44583,0.0846485
-0.4125,-0.00785398
-0.0183333,-0.000349066
2.53917,0.0483456
0.0825,0.0015708
5.26167,0.100182
1.74167,0.0331613
-1.0175,-0.0193732
2.86917,0.0546288
1.27417,0.0242601
0.055,0.0010472
4.11583,0.0783653
2.0075,0.0382227
0.8525,0.0162316
2.75,0.0523599
1.28333,0.0244346
-0.0458333,-0.000872665
3.52,0.0670206
1.14583,0.0218166
-0.165,-0.00314159
5.04167,0.0959931
-0.696667,-0.0132645
1.06333,0.0202458
1.57667,0.0300197
0.33,0.00628319
1.03583,0.0197222
2.19083,0.0417134
0.293333,0.00558505
4.25333,0.0809833
3.94167,0.0750492
-1.63167,-0.0310669
3.5475,0.0675442
0.100833,0.00191986
0.0733333,0.00139626
1.8425,0.0350811
1.03583,0.0197222
1.0725,0.0204204
2.585,0.0492183
0.678333,0.0129154
-0.3575,-0.00680678
3.2175,0.0612611
2.1725,0.0413643
2.2825,0.0434587
3.56583,0.0678933
-0.705833,-0.013439
3.62083,0.0689405
2.8325,0.0539307
2.8325,0.0539307
3.69417,0.0703368
1.06333,0.0202458
1.06333,0.0202458
1.57667,0.0300197
1.54917,0.0294961
1.65917,0.0315905
2.98833,0.0568977
3.4375,0.0654498
-0.0275,-0.000523599
2.64917,0.05044
4.2075,0.0801106
-2.29167,-0.0436332
3.34583,0.0637045
2.035,0.0387463
-1.43917,-0.0274017
1.68667,0.0321141
-1.16417,-0.0221657
-0.0183333,-0.000349066
1.57667,0.0300197
0.256667,0.00488692
1.11833,0.021293
0.3575,0.00680678
1.2925,0.0246091
0.265833,0.00506145
-0.889167,-0.0169297
0.100833,0.00191986
-1.55833,-0.0296706
4.33583,0.0825541
2.3375,0.0445059
-0.88,-0.0167552
3.83167,0.0729548
1.485,0.0282743
1.13667,0.0216421
1.5125,0.0287979
-1.6225,-0.0308923
-0.311667,-0.00593412
-1.08167,-0.0205949
-1.08167,-0.0205949
1.5125,0.0287979
-0.861667,-0.0164061
1.1275,0.0214675
-0.485833,-0.00925025
0,0
0,0
0,0
0,0
-0.0825,-0.0015708
-0.229167,-0.00436332
-0.146667,-0.00279253
0.495,0.00942478
-3.30917,-0.0630064
-0.476667,-0.00907571
-2.53,-0.0481711
-2.86917,-0.0546288
-2.65833,-0.0506145
-0.119167,-0.00226893
0.0733333,0.00139626
0.375833,0.00715585
0.375833,0.00715585
0.055,0.0010472
-3.39167,-0.0645772
-3.355,-0.0638791
-3.7125,-0.0706858
-1.64083,-0.0312414
-2.365,-0.0450295
-2.70417,-0.0514872
-2.70417,-0.0514872
-2.38333,-0.0453786
-2.035,-0.0387463
-4.95917,-0.0944223
-4.95917,-0.0944223
-6.60917,-0.125838
-6.16,-0.117286
-3.20833,-0.0610865
-5.21583,-0.0993092
-2.90583,-0.0553269
-4.30833,-0.0820305
-5.09667,-0.0970403
-7.03083,-0.133867
-4.5375,-0.0863938
-4.5375,-0.0863938
-7.36083,-0.14015
-4.8125,-0.0916298
-4.99583,-0.0951204
-2.2275,-0.0424115
2.60333,0.0495674
-3.03417,-0.0577704
-3.03417,-0.0577704
-1.96167,-0.03735
-0.128333,-0.00244346
-0.11,-0.0020944
-1.03583,-0.0197222
-0.669167,-0.0127409
-0.256667,-0.00488692
0.0825,0.0015708
-0.953333,-0.0181514
0.0641667,0.00122173
-0.128333,-0.00244346
-0.155833,-0.00296706
-0.2475,-0.00471239
-0.2475,-0.00471239
-1.36583,-0.0260054
1.65917,0.0315905
-2.7775,-0.0528835
2.4475,0.0466003
0.394167,0.00750492
1.6775,0.0319395
-2.8875,-0.0549779
1.9525,0.0371755
-1.1275,-0.0214675
-2.48417,-0.0472984
-2.29167,-0.0436332
0.760833,0.0144862
-0.678333,-0.0129154
1.24667,0.0237365
-0.9625,-0.018326
1.44833,0.0275762
1.44833,0.0275762
0.66,0.0125664
-1.87,-0.0356047
1.06333,0.0202458
-0.7425,-0.0141372
1.2925,0.0246091
-0.806667,-0.0153589
0.0366667,0.000698132
0.0366667,0.000698132
0.650833,0.0123918
-0.678333,-0.0129154
0.256667,0.00488692
-1.0175,-0.0193732
0.146667,0.00279253
0.311667,0.00593412
-0.339167,-0.00645772
0.210833,0.00401426
0.100833,0.00191986
0.265833,0.00506145
-0.1925,-0.00366519
0.495,0.00942478
-2.0625,-0.0392699
0.971667,0.0185005
-0.183333,-0.00349066
-2.85083,-0.0542797
3.0525,0.0581195
-3.025,-0.0575959
2.64,0.0502655
-2.53,-0.0481711
3.3825,0.0644026
-2.5575,-0.0486947
2.12667,0.0404916
2.16333,0.0411898
-2.45667,-0.0467748
-2.45667,-0.0467748
-3.97833,-0.0757473
3.64833,0.0694641
-1.36583,-0.0260054
2.24583,0.0427606
-0.760833,-0.0144862
0.66,0.0125664
1.7325,0.0329867
-1.72333,-0.0328122
1.44833,0.0275762
-0.623333,-0.0118682
0.944167,0.0179769
0.825,0.015708
-1.0175,-0.0193732
0.0733333,0.00139626
-0.449167,-0.00855211
-0.449167,-0.00855211
-0.256667,-0.00488692
-0.375833,-0.00715585
-0.210833,-0.00401426
-0.430833,-0.00820305
-0.3575,-0.00680678
1.00833,0.0191986
-1.31083,-0.0249582
1.4575,0.0277507
-1.96167,-0.03735
-0.595833,-0.0113446
0.0275,0.000523599
-1.87,-0.0356047
2.56667,0.0488692
-2.30083,-0.0438078
-2.2825,-0.0434587
